RetailerName,ProductID,ProductName,Category,SubCategory,BrandName,Size,Color,ConditionGrade,OriginalPrice,EstimatedResalePrice,DonationDate,StorageLocation,AuthenticityVerified,DonationStatus,SustainabilityScore,TaxBenefitEligible,WinningBidShippingCost,ShippingPartner,AR_TryOnAvailable,RewardPoints,MaterialType,EcoFriendlyPackaging,ProductImageURL
StyleNation,e390f836,Material Hats,Accessories,Hats,"Ball, Smith and Lamb",L,Blue,Fair,194.36,97.41,2025-04-13,Mitchellmouth,No,Available,1,Yes,11.94,In-House,No,250,Leather,Yes,https://placekitten.com/591/118
ChicFusion,48e617e7,Deep Sandals,Shoes,Sandals,Harris-Pratt,M,Pink,Good,247.59,154.46,2024-12-03,North Rileyport,No,Sold,4,Yes,16.21,FedEx,No,127,Silk,Yes,https://placekitten.com/170/411
Trendify,3d9437f9,Media Trousers,Pants,Trousers,"Jordan, Smith and Watson",M,White,Fair,269.19,141.31,2025-02-03,West Cathyland,Yes,Reserved,8,No,10.29,DHL,Yes,197,Silk,No,https://placekitten.com/19/531
EcoThreads,40db009e,Both Evening Gowns,Dresses,Evening Gowns,Gonzalez-Walker,XS,Red,Like New,285.78,188.65,2024-05-21,Lake John,No,Available,3,Yes,12.7,UPS,No,317,Leather,Yes,https://placeimg.com/278/695/any
Trendify,6d51fb63,Nor Jeans,Pants,Jeans,Wright-Powers,XS,Red,Good,272.99,141.3,2024-04-29,Lake Timothy,No,Sold,1,No,15.27,In-House,Yes,357,Leather,Yes,https://placekitten.com/47/895
StyleNation,ec17f73d,Support Trousers,Pants,Trousers,Castillo LLC,L,Black,Fair,53.36,34.26,2024-05-10,West Stephanieland,No,Reserved,6,Yes,6.62,FedEx,No,80,Leather,No,https://placeimg.com/373/795/any
StyleNation,b877afe2,Bar Sweaters,Tops,Sweaters,"Lozano, Padilla and Mendez",XS,Black,Fair,287.2,122.06,2024-12-30,Juliefort,No,Available,7,Yes,18.39,FedEx,No,356,Denim,No,https://dummyimage.com/839x963
Trendify,b320420c,Seat Hats,Accessories,Hats,"Walters, Murray and Fleming",XXL,Green,Good,273.07,140.32,2024-10-15,Port Kimberlyshire,No,Reserved,6,No,11.02,In-House,No,400,Silk,No,https://placeimg.com/514/164/any
Trendify,c03cfc76,Choose Jeans,Pants,Jeans,"Lewis, Hodge and Henderson",XL,Pink,New,97.51,45.48,2024-05-19,South Patricia,Yes,Available,6,Yes,13.65,DHL,No,57,Silk,No,https://placeimg.com/239/623/any
EcoThreads,e3a12f2c,Federal T-Shirts,Tops,T-Shirts,Ramos and Sons,S,Black,Very Good,109.58,58.92,2024-10-27,Hallside,Yes,Available,3,Yes,19.98,FedEx,No,420,Wool,No,https://placekitten.com/176/774
ChicFusion,3b778c4c,Art Blouses,Tops,Blouses,Oliver-Mcneil,L,White,Good,253.56,103.7,2024-08-16,Martinmouth,Yes,Reserved,9,Yes,13.05,In-House,No,69,Leather,No,https://www.lorempixel.com/274/427
EcoThreads,4349b6e6,Why Bags,Accessories,Bags,Rose-Lawrence,S,Blue,Good,265.42,185.79,2024-05-27,New Tarastad,No,Reserved,4,Yes,13.95,DHL,No,215,Denim,No,https://placekitten.com/931/338
StyleNation,924c389d,Suggest Leggings,Pants,Leggings,Barker-Hudson,S,Red,Good,91.45,53.43,2024-07-18,Gordonborough,No,Sold,6,No,12.44,In-House,Yes,63,Silk,Yes,https://dummyimage.com/413x905
ChicFusion,dcd33c72,Himself Evening Gowns,Dresses,Evening Gowns,Turner and Sons,L,White,Very Good,258.48,161.91,2024-07-21,North Laura,No,Reserved,2,Yes,12.63,In-House,No,231,Silk,Yes,https://dummyimage.com/652x592
Trendify,a4d75840,As Boots,Shoes,Boots,Campbell-Scott,XL,White,Fair,30.81,16.93,2024-11-13,West Robert,Yes,Sold,5,Yes,10.07,UPS,Yes,108,Silk,No,https://www.lorempixel.com/237/551
Trendify,97f5cc26,Deep Bags,Accessories,Bags,Taylor Inc,XS,Green,Like New,190.29,127.14,2024-06-22,North Matthew,No,Reserved,10,No,10.74,FedEx,Yes,131,Leather,No,https://placekitten.com/775/539
Trendify,51f0a902,Big Jeans,Pants,Jeans,Randall PLC,XL,Brown,New,239.77,100.8,2025-02-09,South Mariahtown,No,Sold,10,Yes,17.98,In-House,Yes,490,Denim,No,https://www.lorempixel.com/78/436
EcoThreads,806d6bf5,Still Sneakers,Shoes,Sneakers,Henry PLC,XS,Pink,New,193.25,117.26,2025-04-21,New Ericaland,Yes,Available,5,Yes,17.57,DHL,Yes,365,Polyester,No,https://placekitten.com/447/615
Trendify,f3d83799,Become T-Shirts,Tops,T-Shirts,Vincent-Patterson,XXL,Blue,Fair,50.92,31.27,2024-11-27,Dianeland,Yes,Sold,2,Yes,7.42,FedEx,No,356,Polyester,No,https://www.lorempixel.com/69/590
